"provincia_id","provincia_nombre","sexo","edad_quinquenal","pais_de_nacimiento","nacionalidad","cantidad"
6,"BUENOS AIRES","F","0 a 4","ARGENTINA","ARGENTINA",448076
6,"BUENOS AIRES","F","0 a 4","OTRO PAIS","ARGENTINA",392
6,"BUENOS AIRES","F","0 a 4","OTRO PAIS","EXTRANJERA",864
6,"BUENOS AIRES","F","5 a 9","ARGENTINA","ARGENTINA",674131
6,"BUENOS AIRES","F","5 a 9","OTRO PAIS","ARGENTINA",859
6,"BUENOS AIRES","F","5 a 9","OTRO PAIS","EXTRANJERA",8891
6,"BUENOS AIRES","F","10 a 14","ARGENTINA","ARGENTINA",678597
6,"BUENOS AIRES","F","10 a 14","OTRO PAIS","ARGENTINA",1530
6,"BUENOS AIRES","F","10 a 14","OTRO PAIS","EXTRANJERA",14980
6,"BUENOS AIRES","F","15 a 19","ARGENTINA","ARGENTINA",641087
6,"BUENOS AIRES","F","15 a 19","OTRO PAIS","ARGENTINA",2033
6,"BUENOS AIRES","F","15 a 19","OTRO PAIS","EXTRANJERA",25308
6,"BUENOS AIRES","F","20 a 24","ARGENTINA","ARGENTINA",625673
6,"BUENOS AIRES","F","20 a 24","OTRO PAIS","ARGENTINA",1122
6,"BUENOS AIRES","F","20 a 24","OTRO PAIS","EXTRANJERA",39257
6,"BUENOS AIRES","F","25 a 29","ARGENTINA","ARGENTINA",627843
6,"BUENOS AIRES","F","25 a 29","OTRO PAIS","ARGENTINA",1376
6,"BUENOS AIRES","F","25 a 29","OTRO PAIS","EXTRANJERA",64140
6,"BUENOS AIRES","F","30 a 34","ARGENTINA","ARGENTINA",615107
6,"BUENOS AIRES","F","30 a 34","OTRO PAIS","ARGENTINA",1871
6,"BUENOS AIRES","F","30 a 34","OTRO PAIS","EXTRANJERA",82337
6,"BUENOS AIRES","F","35 a 39","ARGENTINA","ARGENTINA",562298
6,"BUENOS AIRES","F","35 a 39","OTRO PAIS","ARGENTINA",2013
6,"BUENOS AIRES","F","35 a 39","OTRO PAIS","EXTRANJERA",77562
6,"BUENOS AIRES","F","40 a 44","ARGENTINA","ARGENTINA",580744
6,"BUENOS AIRES","F","40 a 44","OTRO PAIS","ARGENTINA",2495
6,"BUENOS AIRES","F","40 a 44","OTRO PAIS","EXTRANJERA",63686
6,"BUENOS AIRES","F","45 a 49","ARGENTINA","ARGENTINA",522075
6,"BUENOS AIRES","F","45 a 49","OTRO PAIS","ARGENTINA",2380
6,"BUENOS AIRES","F","45 a 49","OTRO PAIS","EXTRANJERA",50845
6,"BUENOS AIRES","F","50 a 54","ARGENTINA","ARGENTINA",454277
6,"BUENOS AIRES","F","50 a 54","OTRO PAIS","ARGENTINA",2917
6,"BUENOS AIRES","F","50 a 54","OTRO PAIS","EXTRANJERA",47903
6,"BUENOS AIRES","F","55 a 59","ARGENTINA","ARGENTINA",395514
6,"BUENOS AIRES","F","55 a 59","OTRO PAIS","ARGENTINA",2926
6,"BUENOS AIRES","F","55 a 59","OTRO PAIS","EXTRANJERA",42326
6,"BUENOS AIRES","F","60 a 64","ARGENTINA","ARGENTINA",368324
6,"BUENOS AIRES","F","60 a 64","OTRO PAIS","ARGENTINA",2649
6,"BUENOS AIRES","F","60 a 64","OTRO PAIS","EXTRANJERA",34806
6,"BUENOS AIRES","F","65 a 69","ARGENTINA","ARGENTINA",331327
6,"BUENOS AIRES","F","65 a 69","OTRO PAIS","ARGENTINA",2765
6,"BUENOS AIRES","F","65 a 69","OTRO PAIS","EXTRANJERA",31806
6,"BUENOS AIRES","F","70 a 74","ARGENTINA","ARGENTINA",277627
6,"BUENOS AIRES","F","70 a 74","OTRO PAIS","ARGENTINA",3405
6,"BUENOS AIRES","F","70 a 74","OTRO PAIS","EXTRANJERA",31984
6,"BUENOS AIRES","F","75 a 79","ARGENTINA","ARGENTINA",209386
6,"BUENOS AIRES","F","75 a 79","OTRO PAIS","ARGENTINA",3452
6,"BUENOS AIRES","F","75 a 79","OTRO PAIS","EXTRANJERA",30250
6,"BUENOS AIRES","F","80 a 84","ARGENTINA","ARGENTINA",144652
6,"BUENOS AIRES","F","80 a 84","OTRO PAIS","ARGENTINA",1711
6,"BUENOS AIRES","F","80 a 84","OTRO PAIS","EXTRANJERA",19357
6,"BUENOS AIRES","F","85 a 89","ARGENTINA","ARGENTINA",85111
6,"BUENOS AIRES","F","85 a 89","OTRO PAIS","ARGENTINA",880
6,"BUENOS AIRES","F","85 a 89","OTRO PAIS","EXTRANJERA",11754
6,"BUENOS AIRES","F","90 a 94","ARGENTINA","ARGENTINA",40087
6,"BUENOS AIRES","F","90 a 94","OTRO PAIS","ARGENTINA",472
6,"BUENOS AIRES","F","90 a 94","OTRO PAIS","EXTRANJERA",5824
6,"BUENOS AIRES","F","95 a 99","ARGENTINA","ARGENTINA",10026
6,"BUENOS AIRES","F","95 a 99","OTRO PAIS","ARGENTINA",184
6,"BUENOS AIRES","F","95 a 99","OTRO PAIS","EXTRANJERA",2138
6,"BUENOS AIRES","F","100 y +","ARGENTINA","ARGENTINA",1435
6,"BUENOS AIRES","F","100 y +","OTRO PAIS","ARGENTINA",33
6,"BUENOS AIRES","F","100 y +","OTRO PAIS","EXTRANJERA",504
6,"BUENOS AIRES","M","0 a 4","ARGENTINA","ARGENTINA",466768
6,"BUENOS AIRES","M","0 a 4","OTRO PAIS","ARGENTINA",451
6,"BUENOS AIRES","M","0 a 4","OTRO PAIS","EXTRANJERA",883
6,"BUENOS AIRES","M","5 a 9","ARGENTINA","ARGENTINA",703238
6,"BUENOS AIRES","M","5 a 9","OTRO PAIS","ARGENTINA",916
6,"BUENOS AIRES","M","5 a 9","OTRO PAIS","EXTRANJERA",9352
6,"BUENOS AIRES","M","10 a 14","ARGENTINA","ARGENTINA",705422
6,"BUENOS AIRES","M","10 a 14","OTRO PAIS","ARGENTINA",1591
6,"BUENOS AIRES","M","10 a 14","OTRO PAIS","EXTRANJERA",15529
6,"BUENOS AIRES","M","15 a 19","ARGENTINA","ARGENTINA",666439
6,"BUENOS AIRES","M","15 a 19","OTRO PAIS","ARGENTINA",2072
6,"BUENOS AIRES","M","15 a 19","OTRO PAIS","EXTRANJERA",25791
6,"BUENOS AIRES","M","20 a 24","ARGENTINA","ARGENTINA",648824
6,"BUENOS AIRES","M","20 a 24","OTRO PAIS","ARGENTINA",1160
6,"BUENOS AIRES","M","20 a 24","OTRO PAIS","EXTRANJERA",40421
6,"BUENOS AIRES","M","25 a 29","ARGENTINA","ARGENTINA",646863
6,"BUENOS AIRES","M","25 a 29","OTRO PAIS","ARGENTINA",1358
6,"BUENOS AIRES","M","25 a 29","OTRO PAIS","EXTRANJERA",70688
6,"BUENOS AIRES","M","30 a 34","ARGENTINA","ARGENTINA",628564
6,"BUENOS AIRES","M","30 a 34","OTRO PAIS","ARGENTINA",1688
6,"BUENOS AIRES","M","30 a 34","OTRO PAIS","EXTRANJERA",88878
6,"BUENOS AIRES","M","35 a 39","ARGENTINA","ARGENTINA",571610
6,"BUENOS AIRES","M","35 a 39","OTRO PAIS","ARGENTINA",1725
6,"BUENOS AIRES","M","35 a 39","OTRO PAIS","EXTRANJERA",82669
6,"BUENOS AIRES","M","40 a 44","ARGENTINA","ARGENTINA",582327
6,"BUENOS AIRES","M","40 a 44","OTRO PAIS","ARGENTINA",1880
6,"BUENOS AIRES","M","40 a 44","OTRO PAIS","EXTRANJERA",64887
6,"BUENOS AIRES","M","45 a 49","ARGENTINA","ARGENTINA",514619
6,"BUENOS AIRES","M","45 a 49","OTRO PAIS","ARGENTINA",1573
6,"BUENOS AIRES","M","45 a 49","OTRO PAIS","EXTRANJERA",46484
6,"BUENOS AIRES","M","50 a 54","ARGENTINA","ARGENTINA",438318
6,"BUENOS AIRES","M","50 a 54","OTRO PAIS","ARGENTINA",1997
6,"BUENOS AIRES","M","50 a 54","OTRO PAIS","EXTRANJERA",42485
6,"BUENOS AIRES","M","55 a 59","ARGENTINA","ARGENTINA",371923
6,"BUENOS AIRES","M","55 a 59","OTRO PAIS","ARGENTINA",2123
6,"BUENOS AIRES","M","55 a 59","OTRO PAIS","EXTRANJERA",34906
6,"BUENOS AIRES","M","60 a 64","ARGENTINA","ARGENTINA",335069
6,"BUENOS AIRES","M","60 a 64","OTRO PAIS","ARGENTINA",1931
6,"BUENOS AIRES","M","60 a 64","OTRO PAIS","EXTRANJERA",27909
6,"BUENOS AIRES","M","65 a 69","ARGENTINA","ARGENTINA",284722
6,"BUENOS AIRES","M","65 a 69","OTRO PAIS","ARGENTINA",2180
6,"BUENOS AIRES","M","65 a 69","OTRO PAIS","EXTRANJERA",23571
6,"BUENOS AIRES","M","70 a 74","ARGENTINA","ARGENTINA",217845
6,"BUENOS AIRES","M","70 a 74","OTRO PAIS","ARGENTINA",2449
6,"BUENOS AIRES","M","70 a 74","OTRO PAIS","EXTRANJERA",25325
6,"BUENOS AIRES","M","75 a 79","ARGENTINA","ARGENTINA",144763
6,"BUENOS AIRES","M","75 a 79","OTRO PAIS","ARGENTINA",2739
6,"BUENOS AIRES","M","75 a 79","OTRO PAIS","EXTRANJERA",22834
6,"BUENOS AIRES","M","80 a 84","ARGENTINA","ARGENTINA",82644
6,"BUENOS AIRES","M","80 a 84","OTRO PAIS","ARGENTINA",1509
6,"BUENOS AIRES","M","80 a 84","OTRO PAIS","EXTRANJERA",13051
6,"BUENOS AIRES","M","85 a 89","ARGENTINA","ARGENTINA",39083
6,"BUENOS AIRES","M","85 a 89","OTRO PAIS","ARGENTINA",851
6,"BUENOS AIRES","M","85 a 89","OTRO PAIS","EXTRANJERA",6717
6,"BUENOS AIRES","M","90 a 94","ARGENTINA","ARGENTINA",14436
6,"BUENOS AIRES","M","90 a 94","OTRO PAIS","ARGENTINA",470
6,"BUENOS AIRES","M","90 a 94","OTRO PAIS","EXTRANJERA",3095
6,"BUENOS AIRES","M","95 a 99","ARGENTINA","ARGENTINA",2796
6,"BUENOS AIRES","M","95 a 99","OTRO PAIS","ARGENTINA",146
6,"BUENOS AIRES","M","95 a 99","OTRO PAIS","EXTRANJERA",860
6,"BUENOS AIRES","M","100 y +","ARGENTINA","ARGENTINA",340
6,"BUENOS AIRES","M","100 y +","OTRO PAIS","ARGENTINA",29
6,"BUENOS AIRES","M","100 y +","OTRO PAIS","EXTRANJERA",172
6,"BUENOS AIRES","X","10 a 14","ARGENTINA","ARGENTINA",2
6,"BUENOS AIRES","X","15 a 19","ARGENTINA","ARGENTINA",25
6,"BUENOS AIRES","X","20 a 24","ARGENTINA","ARGENTINA",54
6,"BUENOS AIRES","X","25 a 29","ARGENTINA","ARGENTINA",44
6,"BUENOS AIRES","X","30 a 34","ARGENTINA","ARGENTINA",38
6,"BUENOS AIRES","X","35 a 39","ARGENTINA","ARGENTINA",18
6,"BUENOS AIRES","X","40 a 44","ARGENTINA","ARGENTINA",17
6,"BUENOS AIRES","X","40 a 44","OTRO PAIS","ARGENTINA",1
6,"BUENOS AIRES","X","45 a 49","ARGENTINA","ARGENTINA",5
